Die Schriften des Alten Testaments;EinlAT;0;1;1;Die Bibel [griechisch bíblos = Buch] oder die Heilige Schrift ist eine Sammlung von Büchern, die das Alte und Neue Testament umfasst. Das Alte Testament wird von Juden und Christen als Offenbarungsurkunde betrachtet. Die Bücher des Alten Testaments stammen von Verfassern, durch die Gott zu den Menschen spricht und durch die das Volk Israel seinen Glauben an die Heilstaten und Verheißungen Gottes bekennt. Juden und Christen glauben an die Inspiration (Eingebung) dieser Bücher durch den Geist Gottes. Das Verzeichnis der Bücher, die zur Heiligen Schrift gehören, nennt man Kanon [griechisch kanón = Maßstab], weil sie den Maßstab für den Glauben darstellen. Jesus und seine Jünger übernahmen die Bücher der Heiligen Schrift, wie sie ihr Volk kannte, und beriefen sich in ihrer Botschaft auf sie als auf das Wort Gottes.;
Markus;Mk;48;15;59;Aber auch in diesem Fall stimmten die Aussagen nicht überein.;
Markus;Mk;48;15;60;Da stand der Hohepriester auf, trat in die Mitte und fragte Jesus: Willst du denn nichts sagen zu dem, was diese Leute gegen dich vorbringen?;
Markus;Mk;48;15;61;Er aber schwieg und gab keine Antwort. Da wandte sich der Hohepriester nochmals an ihn und fragte: Bist du der Messias, der Sohn des Hochgelobten?;
Markus;Mk;48;15;62;Jesus sagte: Ich bin es. Und ihr werdet [den Menschensohn zur Rechten] der Macht [sitzen] und [mit den Wolken des Himmels kommen] sehen.;
Markus;Mk;48;15;63;Da zerriss der Hohepriester sein Gewand und rief: Wozu brauchen wir noch Zeugen?;
Markus;Mk;48;15;64;Ihr habt die Gotteslästerung gehört. Was ist eure Meinung? Und sie fällten einstimmig das Urteil: Er ist schuldig und muss sterben.;
Markus;Mk;48;15;65;Und einige spuckten ihn an, verhüllten sein Gesicht, schlugen ihn und riefen: Zeig, dass du ein Prophet bist! Auch die Diener schlugen ihn ins Gesicht.;
Markus;Mk;48;15;66;Als Petrus unten im Hof war, kam eine von den Mägden des Hohenpriesters.;
Markus;Mk;48;15;67;Sie sah, wie Petrus sich wärmte, blickte ihn an und sagte: Auch du warst mit diesem Jesus aus Nazaret zusammen.;
Markus;Mk;48;15;68;Doch er leugnete es und sagte: Ich weiß nicht und verstehe nicht, wovon du redest. Dann ging er in den Vorhof hinaus.;
Markus;Mk;48;15;69;Als die Magd ihn dort bemerkte, sagte sie zu denen, die dabeistanden, noch einmal: Der gehört zu ihnen.;
Markus;Mk;48;15;70;"Er aber leugnete es wieder ab. Wenig später sagten die Leute, die dort standen, von neuem zu Petrus: Du gehörst wirklich zu ihnen; du bist doch auch ein Galiläer.";
Markus;Mk;48;15;71;Da fing er an zu fluchen und schwor: Ich kenne diesen Menschen nicht, von dem ihr redet.;
Markus;Mk;48;15;72;Gleich darauf krähte der Hahn zum zweiten Mal, und Petrus erinnerte sich, dass Jesus zu ihm gesagt hatte: Ehe der Hahn zweimal kräht, wirst du mich dreimal verleugnen. Und er begann zu weinen.;
Markus;Mk;48;16;1;Gleich in der Frühe fassten die Hohenpriester, die Ältesten und die Schriftgelehrten, also der ganze Hohe Rat, über Jesus einen Beschluss: Sie ließen ihn fesseln und abführen und lieferten ihn Pilatus aus.***;
Markus;Mk;48;16;1;*;"℘ (1-8) Mt 28,1-8; Lk 24,1-12; Joh 20,1-13"
Markus;Mk;48;16;1;*;"Vgl. die Anmerkung zu Mt 12,46f. 1-8: Mit einem Hinweis auf Erscheinungen des Auferstandenen in Galiläa, den die Frauen, die das leere Grab entdeckten, erhalten, und einem Vermerk über ihre Furcht und ihr Schweigen endet das Markus-Evangelium; vgl. die Einleitung."
Markus;Mk;48;16;1;*;℘ ⇨Esyn: Synopse Nr. 352
Markus;Mk;48;16;2;Pilatus fragte ihn: Bist du der König der Juden? Er antwortete ihm: Du sagst es.;
Markus;Mk;48;16;3;Die Hohenpriester brachten viele Anklagen gegen ihn vor.;
Markus;Mk;48;16;4;Da wandte sich Pilatus wieder an ihn und fragte: Willst du denn nichts dazu sagen? Sieh doch, wie viele Anklagen sie gegen dich vorbringen.;
Markus;Mk;48;16;5;Jesus aber gab keine Antwort mehr, sodass Pilatus sich wunderte.;
Markus;Mk;48;16;6;Jeweils zum Fest ließ Pilatus einen Gefangenen frei, den sie sich ausbitten durften.*;
Markus;Mk;48;16;6;*;℘ 10,34
Markus;Mk;48;16;7;Damals saß gerade ein Mann namens Barabbas im Gefängnis, zusammen mit anderen Aufrührern, die bei einem Aufstand einen Mord begangen hatten.*;
Markus;Mk;48;16;7;*;℘ ⇨Esyn: Synopse Nr. 315
Markus;Mk;48;16;8;Die Volksmenge zog (zu Pilatus) hinauf und bat, ihnen die gleiche Gunst zu gewähren wie sonst.;
Markus;Mk;48;16;9;Pilatus fragte sie: Wollt ihr, dass ich den König der Juden freilasse?***;
Markus;Mk;48;16;9;*;"℘ Lk 8,2; (9-20) Mt 28,9f.16-20; Lk 24,13-51; Joh 20,11-23"
Markus;Mk;48;16;9;*;"9-20: Dieser Abschnitt findet sich nicht bei den ältesten Textzeugen. Er ist eine im 2. Jahrhundert entstandene Zusammenfassung der in anderen Evangelien stehenden Berichte über die Erscheinungen und Anweisungen des Auferstandenen; er gehört also inhaltlich zur Evangelienüberlieferung. In einer altlateinischen Handschrift findet sich stattdessen folgende Ergänzung: Und sie berichteten alles, was ihnen aufgetragen worden war, dem Kreis um Petrus. Danach sandte Jesus selbst durch sie vom Osten bis in den Westen die heilige und unvergängliche Botschaft vom ewigen Heil. Amen. Bei einigen Textzeugen finden sich auch beide Zusätze."
Markus;Mk;48;16;9;*;℘ ⇨Esyn: Synopse Nr. 363
Markus;Mk;48;16;10;Er merkte nämlich, dass die Hohenpriester nur aus Neid Jesus an ihn ausgeliefert hatten.;
Markus;Mk;48;16;11;Die Hohenpriester aber wiegelten die Menge auf, lieber die Freilassung des Barabbas zu fordern.;
Markus;Mk;48;16;12;Pilatus wandte sich von neuem an sie und fragte: Was soll ich dann mit dem tun, den ihr den König der Juden nennt?;
Markus;Mk;48;16;13;Da schrien sie: Kreuzige ihn!;
Markus;Mk;48;16;14;Pilatus entgegnete: Was hat er denn für ein Verbrechen begangen? Sie schrien noch lauter: Kreuzige ihn!;
Markus;Mk;48;16;15;Darauf ließ Pilatus, um die Menge zufrieden zu stellen, Barabbas frei und gab den Befehl, Jesus zu geißeln und zu kreuzigen.;
Markus;Mk;48;16;16;Die Soldaten führten ihn in den Palast hinein, das heißt in das Prätorium, und riefen die ganze Kohorte zusammen.;
Markus;Mk;48;16;17;"Dann legten sie ihm einen Purpurmantel um und flochten einen Dornenkranz; den setzten sie ihm auf";
Markus;Mk;48;16;18;und grüßten ihn: Heil dir, König der Juden!;
Markus;Mk;48;16;19;Sie schlugen ihm mit einem Stock auf den Kopf und spuckten ihn an, knieten vor ihm nieder und huldigten ihm. [20a] Nachdem sie so ihren Spott mit ihm getrieben hatten, nahmen sie ihm den Purpurmantel ab und zogen ihm seine eigenen Kleider wieder an.*;
Markus;Mk;48;16;19;*;"℘ Apg 1,9-11; 2 Kön 2,3.11; Ps 110,1"
Markus;Mk;48;16;20;[20b] Dann führten sie Jesus hinaus, um ihn zu kreuzigen.;
Markus;Mk;48;16;21;Einen Mann, der gerade vom Feld kam, Simon von Zyrene, den Vater des Alexander und des Rufus, zwangen sie, sein Kreuz zu tragen.;
Markus;Mk;48;16;22;Und sie brachten Jesus an einen Ort namens Golgota, das heißt übersetzt: Schädelhöhe.;
Markus;Mk;48;16;23;"Dort reichten sie ihm Wein, der mit Myrrhe gewürzt war; er aber nahm ihn nicht.";
Markus;Mk;48;16;24;Dann kreuzigten sie ihn. [Sie warfen das Los und verteilten] seine [Kleider unter sich] und gaben jedem, was ihm zufiel.;
Markus;Mk;48;16;25;Es war die dritte Stunde, als sie ihn kreuzigten.;
Markus;Mk;48;16;26;Und eine Aufschrift (auf einer Tafel) gab seine Schuld an: Der König der Juden.;
Markus;Mk;48;16;27;Zusammen mit ihm kreuzigten sie zwei Räuber, den einen rechts von ihm, den andern links.;
Markus;Mk;48;16;28;[[]];
Markus;Mk;48;16;29;Die Leute, die vorbeikamen, verhöhnten ihn, [schüttelten den Kopf] und riefen: Ach, du willst den Tempel niederreißen und in drei Tagen wieder aufbauen?;
Markus;Mk;48;16;30;Hilf dir doch selbst und steig herab vom Kreuz!;
Markus;Mk;48;16;31;Auch die Hohenpriester und die Schriftgelehrten verhöhnten ihn und sagten zueinander: Anderen hat er geholfen, sich selbst kann er nicht helfen.;
Markus;Mk;48;16;32;Der Messias, der König von Israel! Er soll doch jetzt vom Kreuz herabsteigen, damit wir sehen und glauben. Auch die beiden Männer, die mit ihm zusammen gekreuzigt wurden, beschimpften ihn.;
Markus;Mk;48;16;33;Als die sechste Stunde kam, brach über das ganze Land eine Finsternis herein. Sie dauerte bis zur neunten Stunde.;
Markus;Mk;48;16;34;Und in der neunten Stunde rief Jesus mit lauter Stimme: [Eloï, Eloï, lema sabachtani?,] das heißt übersetzt: [Mein Gott, mein Gott, warum hast du mich verlassen?];
Markus;Mk;48;16;35;Einige von denen, die dabeistanden und es hörten, sagten: Hört, er ruft nach Elija!;
Markus;Mk;48;16;36;Einer lief hin, tauchte einen Schwamm in [Essig,] steckte ihn auf einen Stock und [gab] Jesus [zu trinken.] Dabei sagte er: Lasst uns doch sehen, ob Elija kommt und ihn herabnimmt.;
Markus;Mk;48;16;37;Jesus aber schrie laut auf. Dann hauchte er den Geist aus.;
Markus;Mk;48;16;38;Da riss der Vorhang im Tempel von oben bis unten entzwei.;
Markus;Mk;48;16;39;Als der Hauptmann, der Jesus gegenüberstand, ihn auf diese Weise sterben sah, sagte er: Wahrhaftig, dieser Mensch war Gottes Sohn.;
Markus;Mk;48;16;40;"Auch einige Frauen sahen von weitem zu, darunter Maria aus Magdala, Maria, die Mutter von Jakobus dem Kleinen und Joses, sowie Salome;";
Markus;Mk;48;16;41;sie waren Jesus schon in Galiläa nachgefolgt und hatten ihm gedient. Noch viele andere Frauen waren dabei, die mit ihm nach Jerusalem hinaufgezogen waren.;
Markus;Mk;48;16;42;Da es Rüsttag war, der Tag vor dem Sabbat, und es schon Abend wurde,;
Markus;Mk;48;16;43;ging Josef von Arimathäa, ein vornehmer Ratsherr, der auch auf das Reich Gottes wartete, zu Pilatus und wagte es, um den Leichnam Jesu zu bitten.;
Markus;Mk;48;16;44;Pilatus war überrascht, als er hörte, dass Jesus schon tot sei. Er ließ den Hauptmann kommen und fragte ihn, ob Jesus bereits gestorben sei.;
Markus;Mk;48;16;45;Als der Hauptmann ihm das bestätigte, überließ er Josef den Leichnam.;
Markus;Mk;48;16;46;Josef kaufte ein Leinentuch, nahm Jesus vom Kreuz, wickelte ihn in das Tuch und legte ihn in ein Grab, das in einen Felsen gehauen war. Dann wälzte er einen Stein vor den Eingang des Grabes.;
Markus;Mk;48;16;47;Maria aus Magdala aber und Maria, die Mutter des Joses, beobachteten, wohin der Leichnam gelegt wurde.;
Markus;Mk;48;17;1;Als der Sabbat vorüber war, kauften Maria aus Magdala, Maria, die Mutter des Jakobus, und Salome wohlriechende Öle, um damit zum Grab zu gehen und Jesus zu salben.;
Markus;Mk;48;17;2;Am ersten Tag der Woche kamen sie in aller Frühe zum Grab, als eben die Sonne aufging.;
Markus;Mk;48;17;3;Sie sagten zueinander: Wer könnte uns den Stein vom Eingang des Grabes wegwälzen?;
Markus;Mk;48;17;4;"Doch als sie hinblickten, sahen sie, dass der Stein schon weggewälzt war; er war sehr groß.";
Markus;Mk;48;17;5;"Sie gingen in das Grab hinein und sahen auf der rechten Seite einen jungen Mann sitzen, der mit einem weißen Gewand bekleidet war; da erschraken sie sehr.";
Markus;Mk;48;17;6;"Er aber sagte zu ihnen: Erschreckt nicht! Ihr sucht Jesus von Nazaret, den Gekreuzigten. Er ist auferstanden; er ist nicht hier. Seht, da ist die Stelle, wo man ihn hingelegt hatte.";
Markus;Mk;48;17;7;"Nun aber geht und sagt seinen Jüngern, vor allem Petrus: Er geht euch voraus nach Galiläa; dort werdet ihr ihn sehen, wie er es euch gesagt hat.";
Markus;Mk;48;17;8;"Da verließen sie das Grab und flohen; denn Schrecken und Entsetzen hatte sie gepackt. Und sie sagten niemand etwas davon; denn sie fürchteten sich.";
Markus;Mk;48;17;9;Als Jesus am frühen Morgen des ersten Wochentages auferstanden war, erschien er zuerst Maria aus Magdala, aus der er sieben Dämonen ausgetrieben hatte.;
Markus;Mk;48;17;10;Sie ging und berichtete es denen, die mit ihm zusammen gewesen waren und die nun klagten und weinten.;
Markus;Mk;48;17;11;Als sie hörten, er lebe und sei von ihr gesehen worden, glaubten sie es nicht.;
Markus;Mk;48;17;12;Darauf erschien er in einer anderen Gestalt zweien von ihnen, als sie unterwegs waren und aufs Land gehen wollten.;
Markus;Mk;48;17;13;Auch sie gingen und berichteten es den anderen und auch ihnen glaubte man nicht.;
Markus;Mk;48;17;14;"Später erschien Jesus auch den Elf, als sie bei Tisch waren; er tadelte ihren Unglauben und ihre Verstocktheit, weil sie denen nicht glaubten, die ihn nach seiner Auferstehung gesehen hatten.";
Markus;Mk;48;17;15;Dann sagte er zu ihnen: Geht hinaus in die ganze Welt, und verkündet das Evangelium allen Geschöpfen!;
Markus;Mk;48;17;16;"Wer glaubt und sich taufen lässt, wird gerettet; wer aber nicht glaubt, wird verdammt werden.";
Markus;Mk;48;17;17;"Und durch die, die zum Glauben gekommen sind, werden folgende Zeichen geschehen: In meinem Namen werden sie Dämonen austreiben; sie werden in neuen Sprachen reden;";
Markus;Mk;48;17;18;"wenn sie Schlangen anfassen oder tödliches Gift trinken, wird es ihnen nicht schaden; und die Kranken, denen sie die Hände auflegen, werden gesund werden.";
Markus;Mk;48;17;19;Nachdem Jesus, der Herr, dies zu ihnen gesagt hatte, [wurde er in den Himmel aufgenommen] und [setzte sich zur Rechten] Gottes.;
Markus;Mk;48;17;20;Sie aber zogen aus und predigten überall. Der Herr stand ihnen bei und bekräftigte die Verkündigung durch die Zeichen, die er geschehen ließ.]];
Lukas;Lk;49;0;1;"Die altkirchliche Überlieferung nennt als Verfasser des dritten Evangeliums und der Apostelgeschichte »Lukas, den geliebten Arzt« (vgl. Kol 4,14; Phlm 24; auch 2 Tim 4,11), der Heidenchrist war und mit Paulus in Verbindung stand. Lukas benutzt das Evangelium des Markus und schöpft aus einer mit Matthäus gemeinsamen Sammlung von Jesusworten; er blickt auf den Untergang Jerusalems (70 n. Chr.) zurück (21,20-24) und erwartet die Wiederkunft Christi nicht mehr als unmittelbar bevorstehend (17,20f; 21,24; Apg 1,8). Die Abfassung des Evangeliums (wie der Apostelgeschichte) fällt wohl in die Jahre 8090. Ob es in Kleinasien oder in Griechenland entstanden ist, lässt sich nicht sicher bestimmen.";
Lukas;Lk;49;0;2;"Lukas legt seinem Evangelium den dreistufigen Aufriss des Markusevangeliums zugrunde und ordnet seinen übrigen Stoff vor allem in zwei Blöcken in diesen Rahmen ein: 6,20 - 8,3 und 9,51 - 18,14. Die »kleine Einschaltung« (6,20 - 8,3) enthält die Bergpredigtüberlieferung; die »große Einschaltung« (9,51 - 18,14) hat er zu einem umfänglichen Bericht über die letzte Reise Jesu nach Jerusalem ausgestaltet (»Reisebericht«). Vorangestellt hat er wie Matthäus eine Vorgeschichte über Herkunft und Kindheit des Täufers und Jesu (Kap. 1 - 2), angeschlossen mehrere Berichte von Erscheinungen des Auferstandenen in und bei Jerusalem (Kap. 24).";
Lukas;Lk;49;0;3;Lukas will ein Schriftwerk für gebildete Heiden und Heidenchristen schaffen, wie das kunstvoll gestaltete Vorwort (1,1-4) zeigt. Darin berichtet er, dass schon viele vor ihm die auf Augenzeugen zurückgehenden Überlieferungen über Jesus zusammengestellt hätten, er also verschiedene schriftliche Vorlagen hatte, und dass er allem genau nachgegangen sei, um die Verkündigung der Kirche historisch und theologisch als zuverlässig zu erweisen.;
Lukas;Lk;49;0;4;"Lukas verdanken wir verschiedene wertvolle Überlieferungen, die sich in den anderen Evangelien nicht finden, darunter die Gleichnisse vom barmherzigen Samariter, vom verlorenen Sohn, vom klugen Verwalter, vom Pharisäer und Zöllner, eine Reihe von urchristlichen Gebeten und Hymnen (Lobgesang Marias: 1,46-55; Lobgesang des Zacharias: 1,68-79; Lobgesang des Simeon: 2,29-32), wichtige Hinweise auf das Verhalten Jesu gegenüber Frauen, Zöllnern und Sündern, auch bedeutsame Einzelzüge des Passionsgeschehens.";
Lukas;Lk;49;0;5;"Die Sonderüberlieferungen des Lukas stehen im Dienst seiner theologischen Aussagen. Er zeigt in Jesus den Heiland der Verlorenen, der sozial Entrechteten, der Frauen, der Zöllner und Sünder. Jesus offenbarte die Menschenliebe Gottes auf bezwingende Weise. Alle Christen müssen daher ebenso wie Jesus handeln. Wo jemand sich dem Wort Jesu öffnet, wird er zu einem guten und edlen Menschen (8,15). Das Leben des Christen hat seine Mitte in der dienenden Liebe, die auch dem Feind und dem Fremden gilt (6,27-36; 10,25-37) und sich besonders an der Einstellung zu Reichtum und Besitz bewähren muss (12,13-21.33f; 14,12-14; 16,9-13.19-31). Jesus zeigt im Leben und im Sterben, wie sich ein Mensch gut und richtig verhalten soll.";
Lukas;Lk;49;0;6;"Durch Jesus ist die entscheidende Wende der Heilsgeschichte eingetreten (16,16f). Jesus, nicht der als Friedensbringer verehrte Kaiser in Rom, ist der wahre Heiland der Welt (2,11: »Heute ist euch der Retter geboren«). Darum verknüpfte Lukas die Geschichte Jesu mit der Weltgeschichte (1,5; 2,1f; 3,1f). Der Alte Bund und die Geschichte Israels finden ihre Vollendung in der Kirche Christi, die aus Juden und Heiden besteht.";
Lukas;Lk;49;0;7;Mit der Auferstehung Jesu und dem Untergang Jerusalems ist die Epoche der Heidenmission, die Zeit der Sammlung aller Menschen zum einen Volk Gottes angebrochen. Wenn die »Zeit der Heiden« zu Ende ist (21,24), wird auch Israel Jesus als Messias anerkennen (13,35). Das Christusbild des Lukas und sein Aufruf zu sozialem Verhalten sind bis heute maßgebend für die christliche Vorstellung vom Menschen und vom rechten Verhalten in der Gemeinschaft.;
Lukas;Lk;49;1;1;Schon viele haben es unternommen, einen Bericht über all das abzufassen, was sich unter uns ereignet und erfüllt hat.;
Lukas;Lk;49;1;2;Dabei hielten sie sich an die Überlieferung derer, die von Anfang an Augenzeugen und Diener des Wortes waren.;
Lukas;Lk;49;1;3;Nun habe auch ich mich entschlossen, allem von Grund auf sorgfältig nachzugehen, um es für dich, hochverehrter Theophilus, der Reihe nach aufzuschreiben.;
Lukas;Lk;49;1;4;So kannst du dich von der Zuverlässigkeit der Lehre überzeugen, in der du unterwiesen wurdest.;
Lukas;Lk;49;1;5;"Zur Zeit des Herodes, des Königs von Judäa, lebte ein Priester namens Zacharias, der zur Priesterklasse Abija gehörte. Seine Frau stammte aus dem Geschlecht Aarons; sie hieß Elisabet.*";
Lukas;Lk;49;1;5;*;℘ ⇨Esyn: Synopse Nr. 2
Lukas;Lk;49;1;6;Beide lebten so, wie es in den Augen Gottes recht ist, und hielten sich in allem streng an die Gebote und Vorschriften des Herrn.;
Lukas;Lk;49;1;7;Sie hatten keine Kinder, denn Elisabet war unfruchtbar, und beide waren schon in vorgerücktem Alter.;
Lukas;Lk;49;1;8;Eines Tages, als seine Priesterklasse wieder an der Reihe war und er beim Gottesdienst mitzuwirken hatte,;
Lukas;Lk;49;1;9;wurde, wie nach der Priesterordnung üblich, das Los geworfen, und Zacharias fiel die Aufgabe zu, im Tempel des Herrn das Rauchopfer darzubringen.**;
Lukas;Lk;49;1;9;*;℘ Ex 30,7f
Lukas;Lk;49;1;9;*;"Das Rauchopfer im Heiligtum eröffnete den Opferdienst am Morgen; das Brandopfer am Nachmittag (gegen 3 Uhr) schloss ihn ab."
Lukas;Lk;49;1;10;Während er nun zur festgelegten Zeit das Opfer darbrachte, stand das ganze Volk draußen und betete.;
Lukas;Lk;49;1;11;"Da erschien dem Zacharias ein Engel des Herrn; er stand auf der rechten Seite des Rauchopferaltars.";
Lukas;Lk;49;1;12;Als Zacharias ihn sah, erschrak er und es befiel ihn Furcht.;
Lukas;Lk;49;1;13;"Der Engel aber sagte zu ihm: Fürchte dich nicht, Zacharias! Dein Gebet [ist erhört worden. Deine Frau] Elisabet [wird dir einen Sohn gebären; dem sollst du den Namen] Johannes [geben.]*";
Lukas;Lk;49;1;13;*;"℘ Gen 17,19f; Lk 1,60"
Lukas;Lk;49;1;14;Große Freude wird dich erfüllen und auch viele andere werden sich über seine Geburt freuen.;
Lukas;Lk;49;1;15;Denn er wird groß sein vor dem Herrn. [Wein und andere berauschende Getränke wird er nicht trinken] und schon im Mutterleib wird er vom Heiligen Geist erfüllt sein.*;
Lukas;Lk;49;1;15;*;"℘ Num 6,3; Ri 13,4; Lk 7,33"
Lukas;Lk;49;1;16;Viele Israeliten wird er zum Herrn, ihrem Gott, bekehren.;
Lukas;Lk;49;1;17;Er wird mit dem Geist und mit der Kraft des Elija dem Herrn vorangehen, um [das Herz der Väter wieder den Kindern zuzuwenden] und die Ungehorsamen zur Gerechtigkeit zu führen und so das Volk für den Herrn bereit zu machen.*;
Lukas;Lk;49;1;17;*;"℘ Mt 17,10-13; Mal 3,23f"
Lukas;Lk;49;1;18;Zacharias sagte zu dem Engel: Woran soll ich erkennen, dass das wahr ist? Ich bin ein alter Mann und auch meine Frau ist in vorgerücktem Alter.;
Lukas;Lk;49;1;19;Der Engel erwiderte ihm: Ich bin Gabriel, der vor Gott steht, und ich bin gesandt worden, um mit dir zu reden und dir diese frohe Botschaft zu bringen.;
Lukas;Lk;49;1;20;Aber weil du meinen Worten nicht geglaubt hast, die in Erfüllung gehen, wenn die Zeit dafür da ist, sollst du stumm sein und nicht mehr reden können bis zu dem Tag, an dem all das eintrifft.;
Lukas;Lk;49;1;21;Inzwischen wartete das Volk auf Zacharias und wunderte sich, dass er so lange im Tempel blieb.;
Lukas;Lk;49;1;22;Als er dann herauskam, konnte er nicht mit ihnen sprechen. Da merkten sie, dass er im Tempel eine Erscheinung gehabt hatte. Er gab ihnen nur Zeichen mit der Hand und blieb stumm.*;
Lukas;Lk;49;1;22;*;Am Schluss des Opferdienstes wurde das Volk vom Priester gesegnet.
Lukas;Lk;49;1;23;Als die Tage seines Dienstes (im Tempel) zu Ende waren, kehrte er nach Hause zurück.;
Lukas;Lk;49;1;24;Bald darauf empfing seine Frau Elisabet einen Sohn und lebte fünf Monate lang zurückgezogen. Sie sagte:;
Lukas;Lk;49;1;25;"Der Herr hat mir geholfen; er hat in diesen Tagen gnädig auf mich geschaut und mich von der Schande befreit, mit der ich in den Augen der Menschen beladen war.";
Lukas;Lk;49;1;26;Im sechsten Monat wurde der Engel Gabriel von Gott in eine Stadt in Galiläa namens Nazaret*;
Lukas;Lk;49;1;26;*;℘ ⇨Esyn: Synopse Nr. 3
Lukas;Lk;49;1;27;zu einer Jungfrau gesandt. Sie war mit einem Mann namens Josef verlobt, der aus dem Haus David stammte. Der Name der Jungfrau war Maria.*;
Lukas;Lk;49;1;27;*;℘ Mt 1,16
Lukas;Lk;49;1;28;Der Engel trat bei ihr ein und sagte: Sei gegrüßt, du Begnadete, der Herr ist mit dir.;
Lukas;Lk;49;1;29;Sie erschrak über die Anrede und überlegte, was dieser Gruß zu bedeuten habe.;
Lukas;Lk;49;1;30;"Da sagte der Engel zu ihr: Fürchte dich nicht, Maria; denn du hast bei Gott Gnade gefunden.";
Lukas;Lk;49;1;31;[Du wirst ein Kind empfangen, einen Sohn wirst du gebären: dem sollst du den Namen] Jesus [geben.]*;
Lukas;Lk;49;1;31;*;"℘ Jes 7,14; Gen 17,19; Mt 1,21-23"
Lukas;Lk;49;1;32;Er wird groß sein und Sohn des Höchsten genannt werden. Gott, der Herr, wird ihm [den Thron] seines Vaters [David] geben.*;
Lukas;Lk;49;1;32;*;"℘ (32f) 2 Sam 7,13; Jes 9,6"
Lukas;Lk;49;1;33;Er wird über das Haus Jakob [in Ewigkeit] herrschen und [seine Herrschaft] wird kein Ende haben.;
Lukas;Lk;49;1;34;Maria sagte zu dem Engel: Wie soll das geschehen, da ich keinen Mann erkenne?*;
Lukas;Lk;49;1;34;*;Zu «erkennen» vgl. die Anmerkung zu Mt 1,25.
Lukas;Lk;49;1;35;Der Engel antwortete ihr: Der Heilige Geist wird über dich kommen, und die Kraft des Höchsten wird dich überschatten. Deshalb wird auch das Kind heilig und Sohn Gottes genannt werden.**;
Lukas;Lk;49;1;35;*;℘ Mt 1,18-20
Lukas;Lk;49;1;35;*;Andere Übersetzungsmöglichkeit: Deshalb wird auch das Heilige, das geboren wird, Sohn Gottes genannt werden.
Lukas;Lk;49;1;36;"Auch Elisabet, deine Verwandte, hat noch in ihrem Alter einen Sohn empfangen; obwohl sie als unfruchtbar galt, ist sie jetzt schon im sechsten Monat.";
Lukas;Lk;49;1;37;Denn [für Gott ist nichts unmöglich.]**;
Lukas;Lk;49;1;37;*;℘ ⇨Esyn: Synopse Nr. 125
Lukas;Lk;49;1;37;*;"℘ Gen 18,14; Ijob 42,2; Mt 19,26; Mk 10,27; Lk 18,27"
Lukas;Lk;49;1;38;"Da sagte Maria: Ich bin die Magd des Herrn; mir geschehe, wie du es gesagt hast. Danach verließ sie der Engel.";
Lukas;Lk;49;1;39;Nach einigen Tagen machte sich Maria auf den Weg und eilte in eine Stadt im Bergland von Judäa.*;
Lukas;Lk;49;1;39;*;℘ ⇨Esyn: Synopse Nr. 4
Lukas;Lk;49;1;40;Sie ging in das Haus des Zacharias und begrüßte Elisabet.;
Lukas;Lk;49;1;41;Als Elisabet den Gruß Marias hörte, hüpfte das Kind in ihrem Leib. Da wurde Elisabet vom Heiligen Geist erfüllt;
Lukas;Lk;49;1;42;und rief mit lauter Stimme: Gesegnet bist du mehr als alle anderen Frauen und gesegnet ist die Frucht deines Leibes.*;
Lukas;Lk;49;1;42;*;℘ Jdt 13,18
Lukas;Lk;49;1;43;Wer bin ich, dass die Mutter meines Herrn zu mir kommt?;
Lukas;Lk;49;1;44;In dem Augenblick, als ich deinen Gruß hörte, hüpfte das Kind vor Freude in meinem Leib.;
Lukas;Lk;49;1;45;Selig ist die, die geglaubt hat, dass sich erfüllt, was der Herr ihr sagen ließ.;
Lukas;Lk;49;1;46;Da sagte Maria: [Meine Seele] preist die Größe [des Herrn,] /**;
Lukas;Lk;49;1;46;*;℘ (46-55) 1 Sam 2,1-10
Lukas;Lk;49;1;46;*;"46-55: Die obige Fassung ist für die Liturgie vorgesehen. Daneben hat die ökumenische Kommission auch den folgenden Text erarbeitet: 46: Meine Seele preist voll Freude den Herrn, 47: mein Geist ist voll Jubel über Gott, meinen Retter. 48: Denn er hat gnädig auf seine arme Magd geschaut. / Von nun an preisen alle Geschlechter mich glücklich. 49: Denn der Mächtige hat an mir Großes getan; sein Name ist heilig. 50: Er schenkt sein Erbarmen von Geschlecht zu Geschlecht / allen, die ihn fürchten und ehren. 51: Sein starker Arm vollbringt gewaltige Taten: / Er macht die Pläne der Stolzen zunichte; 52: er stürzt die Mächtigen vom Thron / und bringt die Armen zu Ehren; 53: er beschenkt mit seinen Gaben die Hungrigen, / die Reichen aber schickt er mit leeren Händen fort. 54/55: Er nimmt sich gnädig seines Knechtes Israel an, / denn er denkt an das Erbarmen, das er unseren Vätern verheißen hat, / Abraham und seinen Nachkommen, für ewige Zeiten."
Lukas;Lk;49;1;47;und mein Geist [jubelt über Gott, meinen Retter.]*;
Lukas;Lk;49;1;47;*;℘ Hab 3,18
Lukas;Lk;49;1;48;Denn [auf die Niedrigkeit seiner Magd hat er geschaut.] /Siehe, von nun an [preisen mich selig] alle Geschlechter.*;
Lukas;Lk;49;1;48;*;"℘ 1 Sam 1,11; Gen 30,13"
Lukas;Lk;49;1;49;Denn der Mächtige [hat Großes] an mir [getan] /und [sein Name ist heilig.]*;
